userName,content,score,reviewCreatedVersion,date
Akul Kumar,the app is very good. easily to earn money.,5,9.2,2020-10-30
vinod sharma,paying updated :not anymore 2nd payment is in process from 2 weeks still not paying 5th week updated.,1,9.0,2020-10-17
Sanjenbam Nishikanta,totally a fake app. 6 days and still in pending. they never reply my mails back. i urge whomever reading this now please report this kind of app in order to remove from play store.,1,9.0,2020-10-05
Nimi Shah,watching video section is not there....what happened...pls fix it,4,9.0,2020-10-15
KC Creationz,first time i withdraw my money successfully but second timee thiss ap shows that your transaction cancelled ..... 😠😠😠 and i tried to communicate to its team butt customer service number was wrong provided by app..... and mail service didn't reply me 😠 ... i am totally tired 😠😠😠,1,9.2,2020-11-02
K.B.H. YT,awesome app for earning real money.if you want to try this app i prescribe to download this app. you can withdral real money. trust me.this app is amazing.,5,9.0,2020-10-19
krillin willin,good apo but a. lot of bugs plz fix it,4,9.2,2020-10-20
shobha singh,very good app and easy to earn money,5,9.2,2020-10-21
Neeraj Kumar,email address not verify error 404 very bad application don't download,1,9.0,2020-10-13
Surendra Gosai,waste of time app verifying verifying every time but not verified,1,9.0,2020-10-11
Nalin Bose,very nice. you can manage time very beneficially,5,9.2,2020-10-20
Hannu Op,i am unable to verify my email id and i have to withdrawal my money i did get the mail but it shows error fix this please,2,9.0,2020-10-05
Khavadiya Ayush,i love this app and 72 hrs back payment is successfully in my paytm wallet,4,9.0,2020-10-08
Pinku Misra,really this app is amazing i have received my first withdraw payment,5,9.2,2020-10-28
Technial Gamer,this app is not verifiying the details given in app plzz fix this issue,1,9.2,2020-10-29
Per Arasan,the good app thanks and quickly money transfer please,5,9.2,2020-11-03
Amal Baidya,it does what it's says but instant payment is not that instant ☁😊☁☁😊☁😁☁ ☁😊☁☁😊☁☁☁ ☁😊😊😊😊☁😊☁ ☁😊☁☁😊☁😊☁ ☁😊☁☁😊☁😊☁,4,9.2,2020-10-31
Uday mech tech,not ads coming and apps installing but not money coming,1,9.0,2020-10-14
Royãl vērsãçe is thê gãmêr,not a good app because i collect money from 2 months. and this app is not giving my money. i didn't like this behaviour.,1,9.0,2020-10-02
Bhagat Nayak,this app is more help 😸 full to all of this please try it and apply my promocode-pcmqjdae,4,9.2,2020-10-23
mohammed afzal,super but late transfer money,3,9.2,2020-11-01
Navas Navas,giving payment best money making app it gives 50 rupees per day in 10 min,5,9.2,2020-11-03
Noob Gaming,good app for earning but i have a question that when i have completed my all offers then i get no offers. please tell about it.,5,9.2,2020-11-03
Monty Gujghu,very nice app you can earn from hear so easely,5,9.0,2020-10-15
Pankaj Raina,video playing problem / now i am not able to see watch video option plz tell what to do,1,9.0,2020-10-11
Nisha Jha,it's real but take too long time for transfer your money,1,9.0,2020-10-07
